YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire,etype
2004,2,4,0,570786000000000000,10144600000000000,4.34,8.668,0,1
2004,2,25,0,438676000000000000,18123000000000000,8.8,10.286,0,0
2004,3,5,6,495012000000000000,10342600000000000,9.06,10.141,0,2
2004,3,10,0,469479000000000000,31824900000000000,4.3,9.282,0,2
2004,5,19,0,624324000000000000,16029000000000000,6.24,11.297,0,1
2004,6,9,0,686559000000000000,31611800000000000,6.36,9.118,0,1
2004,10,20,0,665372000000000000,6103630000000000,5.86,9.622,1,0
2005,1,19,0,412664000000000000,13419900000000000,8.82,9.895,0,0
2005,3,28,0,446048000000000000,7910000000000000,7.16,9.281,0,1
2005,8,25,0,654525000000000000,9071680000000000,8.7,10.697,1,0
2005,10,12,0,574947000000000000,17485500000000000,7.22,8.759,1,1
2005,12,21,0,641304000000000000,31234300000000000,5.66,9.709,0,2
2006,10,12,0,623007000000000000,14070700000000000,4.56,10.222,1,0
2006,11,8,0,402045000000000000,7709960000000000,5.82,8.284,0,2
2007,1,17,0,688925000000000000,30235400000000000,5.54,11.928,1,1
2007,3,8,0,406920000000000000,9670120000000000,4,8.245,0,2
2007,3,14,0,454754000000000000,26823500000000000,4.52,8.936,0,1
2007,3,21,0,383801000000000000,22831400000000000,7.36,8.037,0,1
2008,2,13,0,338764000000000000,16066100000000000,5,7.739,0,1
2008,2,27,0,392183000000000000,10595500000000000,8.38,9.176,0,0
2008,3,21,0,289247000000000000,18690600000000000,4.82,6.3,0,1
2008,6,4,0,601773000000000000,18458900000000000,6.84,8.677,0,0
2008,10,22,0,646275000000000000,7060170000000000,8.96,11.075,1,1
2009,1,7,0,381083000000000000,13037100000000000,6.46,8.912,0,0
2009,1,14,0,390501000000000000,15543500000000000,5.12,9.864,0,0
2009,1,21,0,531267000000000000,70302000000000000,5.66,7.986,0,1
2009,2,18,0,549850000000000000,13927800000000000,6.4,10.783,0,0
2009,2,25,0,531819000000000000,23831500000000000,10.02,10.538,0,2
2009,6,24,0,595487000000000000,8184400000000000,8.78,10.052,0,0
2009,8,26,0,571663000000000000,7218430000000000,7.68,8.833,0,1
2009,9,9,0,784066000000000000,10604500000000000,9.68,11.123,0,2
2009,12,9,0,613896000000000000,49514600000000000,6.34,7.668,0,1
2009,12,23,12,393842000000000000,19110100000000000,4.9,8.599,0,0
2010,1,27,0,394801000000000000,21484100000000000,4.72,9.075,0,2
2010,2,10,0,454884000000000000,9009660000000000,9.36,10.572,0,1
2010,2,24,0,593182000000000000,9672860000000000,4.28,10.384,0,2
2010,3,31,0,396362000000000000,10284900000000000,4,11.039,0,2
2011,1,19,0,426352000000000000,10773900000000000,4.9,10.568,0,1
2011,2,3,0,386296000000000000,29523800000000000,6.78,7.959,0,1
2011,2,16,0,513870000000000000,16563800000000000,5,11.521,0,1
2011,5,11,0,704358000000000000,25143100000000000,5.52,10.786,0,1
2011,9,21,0,722779000000000000,16393800000000000,7.32,9.336,1,1
2011,12,7,0,550245000000000000,13172300000000000,6.64,8.858,0,1
2012,3,29,0,602806000000000000,12291500000000000,7.42,10.178,0,1
2012,8,9,0,528410000000000000,10894900000000000,9.26,10.165,0,1
2012,9,26,0,616906000000000000,12923000000000000,8.16,8.995,1,1
2012,12,19,0,504428000000000000,9193770000000000,5.68,9.31,0,1
